	UniProtID	Description	GO_Terms
FN3K	Q9H479	Fructosamine-3-kinase	GO:0005575;GO:0005829;GO:0016301;GO:0016310;GO:0030387;GO:0030393;GO:0030855;GO:0043687;GO:0030389
POFUT1	Q9H488	GDP-fucose protein O-fucosyltransferase 1	GO:0001525;GO:0001756;GO:0005783;GO:0006004;GO:0006355;GO:0006493;GO:0007219;GO:0007399;GO:0007507;GO:0008417;GO:0008593;GO:0016020;GO:0016266;GO:0036066;GO:0046922
TSPY26P	Q9H489	Putative testis-specific Y-encoded-like protein 3	GO:0005634;GO:0006334
PIGU	Q9H490	Phosphatidylinositol glycan anchor biosynthesis class U protein	GO:0005789;GO:0005886;GO:0006506;GO:0016020;GO:0016255;GO:0030176;GO:0042765;GO:0046425;GO:0003923;GO:0034235;GO:0034394
MAP1LC3A	Q9H492	Microtubule-associated proteins 1A/1B light chain 3A	GO:0000045;GO:0000421;GO:0000422;GO:0005515;GO:0005543;GO:0005770;GO:0005776;GO:0005829;GO:0005874;GO:0008429;GO:0009267;GO:0010040;GO:0010288;GO:0016236;GO:0031090;GO:0031625;GO:0034198;GO:0043278;GO:0044754;GO:0045202;GO:0070301;GO:0071280;GO:0097352;GO:0006995;GO:0008017
TOR3A	Q9H497	Torsin-3A	GO:0005524;GO:0005783;GO:0005788;GO:0016887;GO:0070062;GO:0005635
WNK1	Q9H4A3	Serine/threonine-protein kinase WNK1	GO:0000287;GO:0002028;GO:0003084;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0006468;GO:0006811;GO:0010820;GO:0010923;GO:0016020;GO:0018105;GO:0018107;GO:0019869;GO:0019901;GO:0019902;GO:0023016;GO:0030291;GO:0030295;GO:0032147;GO:0033633;GO:0034115;GO:0034260;GO:0035556;GO:0038116;GO:0046777;GO:0048666;GO:0050794;GO:0050852;GO:0071277;GO:0071901;GO:0090188;GO:0090263;GO:0097022;GO:1903038;GO:1990869;GO:0019870;GO:0032414;GO:0050801;GO:1903288;GO:0010766;GO:2000651
RNPEP	Q9H4A4	Aminopeptidase B	GO:0004177;GO:0004301;GO:0005576;GO:0005886;GO:0006508;GO:0008235;GO:0008270;GO:0070062;GO:0045776;GO:0030141
GOLPH3L	Q9H4A5	Golgi phosphoprotein 3-like	GO:0000139;GO:0005515;GO:0007030;GO:0032580;GO:0032588;GO:0050714;GO:0070273;GO:0048194;GO:0005802;GO:0031985;GO:0005829;GO:0006890;GO:0043001
GOLPH3	Q9H4A6	Golgi phosphoprotein 3	GO:0005515;GO:0005739;GO:0005758;GO:0005768;GO:0005794;GO:0005802;GO:0005829;GO:0005886;GO:0007030;GO:0008283;GO:0009101;GO:0009306;GO:0010467;GO:0010821;GO:0016477;GO:0019899;GO:0030032;GO:0031985;GO:0032008;GO:0032580;GO:0043001;GO:0043066;GO:0043231;GO:0045053;GO:0048194;GO:0050714;GO:0050901;GO:0060352;GO:0070273;GO:0090161;GO:0090164;GO:0006890
DPEP2	Q9H4A9	Dipeptidase 2	GO:0006508;GO:0008235;GO:0008239;GO:0016805;GO:0031225;GO:0046872
OSGEPL1	Q9H4B0	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	GO:0002949;GO:0004222;GO:0005739;GO:0006508;GO:0046872;GO:0061711;GO:0000408
PLK3	Q9H4B4	Serine/threonine-protein kinase PLK3	GO:0000082;GO:0000086;GO:0000122;GO:0000302;GO:0002039;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005795;GO:0005813;GO:0006468;GO:0006915;GO:0006970;GO:0006974;GO:0006977;GO:0007093;GO:0007113;GO:0009314;GO:0030425;GO:0031122;GO:0032465;GO:0043025;GO:0043066;GO:0043491;GO:0044819;GO:0051302;GO:0090166;GO:0090316;GO:1901796;GO:1904716;GO:2000777;GO:0000922;GO:0000278
SAV1	Q9H4B6	Protein salvador homolog 1	GO:0001942;GO:0005515;GO:0005634;GO:0005737;GO:0005829;GO:0006915;GO:0030216;GO:0035329;GO:0042802;GO:0043065;GO:0045600;GO:0050680;GO:0050821;GO:0051091;GO:0060044;GO:0060090;GO:0060412;GO:0060487;GO:0060575;GO:2000036;GO:0007165
TUBB1	Q9H4B7	Tubulin beta-1 chain	GO:0003924;GO:0005737;GO:0051225;GO:0070062;GO:0000226;GO:0005525;GO:0005874;GO:0007017;GO:0000278;GO:0005200
DPEP3	Q9H4B8	Dipeptidase 3	GO:0001669;GO:0005886;GO:0006508;GO:0007140;GO:0008235;GO:0008239;GO:0016805;GO:0031225;GO:0046872
CLSTN2	Q9H4D0	Calsyntenin-2	GO:0000139;GO:0005509;GO:0005789;GO:0007156;GO:0098978;GO:0099061;GO:0045211;GO:0051965;GO:0050806;GO:0009986
NXF3	Q9H4D5	Nuclear RNA export factor 3	GO:0003729;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0006406;GO:0042272;GO:0016973;GO:0003723
RHOJ	Q9H4E5	Rho-related GTP-binding protein RhoJ	GO:0001525;GO:0003924;GO:0005515;GO:0005525;GO:0005829;GO:0005886;GO:0010594;GO:0030036;GO:0051056;GO:0061299;GO:0070062;GO:0090050;GO:1903670;GO:0019901;GO:0032956;GO:0005737;GO:0007163;GO:0006897;GO:0007266;GO:0008360;GO:0005938;GO:0030031;GO:0007015;GO:0042995
DEF6	Q9H4E7	Differentially expressed in FDCP 6 homolog	GO:0005515;GO:0005654;GO:0005829;GO:0005856;GO:0005886;GO:0016020;GO:0030175;GO:0048471;GO:0005634;GO:0005737
ST6GALNAC4	Q9H4F1	Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase	GO:0000139;GO:0006664;GO:0016021;GO:0016266;GO:0047290;GO:0097503;GO:0008373
SMOC1	Q9H4F8	SPARC-related modular calcium-binding protein 1	GO:0001654;GO:0005509;GO:0005515;GO:0005604;GO:0030154;GO:0045667;GO:0050840;GO:0060173
EPB41L1	Q9H4G0	Band 4.1-like protein 1	GO:0003779;GO:0005198;GO:0005515;GO:0005829;GO:0005856;GO:0005886;GO:0030866;GO:0031032
CST9L	Q9H4G1	Cystatin-9-like	GO:0004869;GO:0005515;GO:0005576;GO:0010951
GLIPR2	Q9H4G4	Golgi-associated plant pathogenesis-related protein 1	GO:0000139;GO:0010634;GO:0010718;GO:0042803;GO:0070062;GO:0070374;GO:0005615
DPH3P1	Q9H4G8	Putative DPH3 homolog B	GO:0046872;GO:0005829;GO:0017183;GO:0005634;GO:0002098
FAM83D	Q9H4H8	Protein FAM83D	GO:0001837;GO:0005515;GO:0005737;GO:0008017;GO:0008283;GO:0016477;GO:0019894;GO:0019901;GO:0032006;GO:0042176;GO:0051301;GO:0051310;GO:0070372;GO:0097431;GO:1902480;GO:1902808
RAD21L1	Q9H4I0	Double-strand-break repair protein rad21-like protein 1	GO:0000724;GO:0000800;GO:0005634;GO:0005694;GO:0007130;GO:0007283;GO:0009566;GO:0030893;GO:0034991;GO:0070197;GO:0072520;GO:0003682;GO:0006302;GO:0007062;GO:0051321
ZHX3	Q9H4I2	Zinc fingers and homeoboxes protein 3	GO:0000977;GO:0000981;GO:0003700;GO:0005515;GO:0005634;GO:0005654;GO:0030154;GO:0042803;GO:0045669;GO:0045892;GO:0046872;GO:0046982;GO:0000122;GO:0003714
SERHL2	Q9H4I8	Serine hydrolase-like protein 2	GO:0003674;GO:0005575;GO:0005777;GO:0008150;GO:0016787;GO:0031410;GO:0048471
SMDT1	Q9H4I9	Essential MCU regulator, mitochondrial	GO:0005515;GO:0005634;GO:0005739;GO:0005743;GO:0005759;GO:0006851;GO:0031305;GO:0036444;GO:0051560;GO:1990246
RIBC2	Q9H4K1	RIB43A-like with coiled-coils protein 2	GO:0005515;GO:0005634
MTG2	Q9H4K7	Mitochondrial ribosome-associated GTPase 2	GO:0000287;GO:0003924;GO:0005525;GO:0005743;GO:0005759;GO:0005761;GO:0042254;GO:0044065;GO:0070129
SENP3	Q9H4L4	Sentrin-specific protease 3	GO:0005515;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0006364;GO:0008234;GO:0071339;GO:0016926
OSBPL3	Q9H4L5	Oxysterol-binding protein-related protein 3	GO:0005515;GO:0005789;GO:0005829;GO:0005886;GO:0006699;GO:0015485;GO:0015918;GO:0016020;GO:0031965;GO:0032433;GO:0097038;GO:0032934;GO:0015248;GO:0008289;GO:0043231
SMARCAD1	Q9H4L7	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	GO:0000018;GO:0000729;GO:0000792;GO:0003676;GO:0003677;GO:0003678;GO:0005515;GO:0005524;GO:0005654;GO:0006325;GO:0006338;GO:0009117;GO:0016363;GO:0032508;GO:0035861;GO:0043044;GO:0043596;GO:0045893;GO:0051260;GO:0051304;GO:0070932;GO:0070933;GO:0008094;GO:0003682;GO:0005634
FBXO44	Q9H4M3	F-box only protein 44	GO:0000209;GO:0005515;GO:0005829;GO:0010498;GO:0019005;GO:0043687;GO:0061630;GO:0006516;GO:0030433;GO:0005737;GO:0031146
PLEKHA4	Q9H4M7	Pleckstrin homology domain-containing family A member 4	GO:0005546;GO:0005575;GO:0005737;GO:0005886;GO:0006661;GO:0008150;GO:0031234;GO:0032266;GO:0043325;GO:0080025;GO:0090263;GO:2000096
EHD1	Q9H4M9	EH domain-containing protein 1	GO:0005509;GO:0005515;GO:0005524;GO:0005525;GO:0005811;GO:0005886;GO:0006886;GO:0006897;GO:0007596;GO:0010008;GO:0010886;GO:0016020;GO:0017137;GO:0020018;GO:0031095;GO:0031175;GO:0031901;GO:0032456;GO:0034383;GO:0042632;GO:0042802;GO:0045296;GO:0051260;GO:0055038;GO:0060271;GO:0061512;GO:0070062;GO:1901741;GO:1990090;GO:2001137
RNF41	Q9H4P4	E3 ubiquitin-protein ligase NRDP1	GO:0000209;GO:0004842;GO:0005128;GO:0005135;GO:0005515;GO:0005829;GO:0006914;GO:0008270;GO:0008285;GO:0010498;GO:0017160;GO:0019904;GO:0030336;GO:0030971;GO:0043408;GO:0045619;GO:0045637;GO:0045732;GO:0048471;GO:0051091;GO:0051865;GO:0051896;GO:0061630;GO:0071782;GO:0097191;GO:1901525;GO:2000114;GO:2000377;GO:2000379
PRDM13	Q9H4Q3	PR domain zinc finger protein 13	GO:0000981;GO:0016571;GO:0022008;GO:0046872;GO:0042054;GO:0043565;GO:0003700;GO:0000977;GO:0031490;GO:0000122;GO:0005634
PRDM12	Q9H4Q4	PR domain zinc finger protein 12	GO:0000981;GO:0005634;GO:0006357;GO:0008168;GO:0019233;GO:0031175;GO:0032259;GO:0046872;GO:0050965;GO:0051574;GO:1900111;GO:1990226;GO:0022008;GO:0043565;GO:0000977;GO:0031490;GO:0003700
GSX1	Q9H4S2	GS homeobox 1	GO:0000978;GO:0000981;GO:0001228;GO:0005634;GO:0021527;GO:0021854;GO:0021984;GO:0043565;GO:0045944;GO:0048663;GO:0001227;GO:0007417;GO:0030182;GO:0001162;GO:0006357
ZSCAN16	Q9H4T2	Zinc finger and SCAN domain-containing protein 16	GO:0000981;GO:0003677;GO:0005515;GO:0005634;GO:0006357;GO:0046872
EBF3	Q9H4W6	Transcription factor COE3	GO:0000978;GO:0000981;GO:0005634;GO:0007275;GO:0045893;GO:0046872;GO:0046983;GO:0045944;GO:0001228
RGCC	Q9H4X1	Regulator of cell cycle RGCC	GO:0001100;GO:0001937;GO:0003331;GO:0005515;GO:0005634;GO:0005730;GO:0005737;GO:0005813;GO:0005829;GO:0006956;GO:0006977;GO:0008285;GO:0010628;GO:0010718;GO:0016525;GO:0019901;GO:0030295;GO:0032147;GO:0032967;GO:0043537;GO:0045737;GO:0045840;GO:0045944;GO:0050710;GO:0050715;GO:0051091;GO:0051496;GO:0070412;GO:0071158;GO:0071456;GO:0071850;GO:0072537;GO:0090272;GO:1900087;GO:1901203;GO:1901991;GO:2000048;GO:2000353;GO:2000573
GSTO2	Q9H4Y5	Glutathione S-transferase omega-2	GO:0004364;GO:0005515;GO:0005829;GO:0006805;GO:0016491;GO:0019852;GO:0042802;GO:0045174;GO:0050610;GO:0055114;GO:0070062;GO:0071243;GO:0098869;GO:1901687
ZNF335	Q9H4Z2	Zinc finger protein 335	GO:0000978;GO:0000981;GO:0001701;GO:0002052;GO:0005515;GO:0005634;GO:0005654;GO:0006357;GO:0007420;GO:0021895;GO:0040029;GO:0044212;GO:0046872;GO:0048812;GO:0048854;GO:0050671;GO:0050769;GO:0051569;GO:0080182;GO:0035097;GO:0010468;GO:0000979
PCIF1	Q9H4Z3	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	GO:0005634;GO:0005654;GO:0010923;GO:0015630;GO:0016422;GO:0045171;GO:0045727;GO:0080009;GO:0099122;GO:1904047
ESF1	Q9H501	ESF1 homolog	GO:0003723;GO:0005615;GO:0005654;GO:0005730;GO:0006364
BANF2	Q9H503	Barrier-to-autointegration factor-like protein	GO:0005634;GO:0005737;GO:0007059;GO:0030261;GO:0003677;GO:0005654
KLHL31	Q9H511	Kelch-like protein 31	GO:0001933;GO:0005634;GO:0005737;GO:0046329
Q9H521	Q9H521	Putative uncharacterized protein LOC645739	GO:0004674;GO:0006468;GO:0016477;GO:0030036
ALG2	Q9H553	Alpha-1,3/1,6-mannosyltransferase ALG2	GO:0000033;GO:0004378;GO:0005515;GO:0005634;GO:0005737;GO:0005789;GO:0005829;GO:0006488;GO:0015629;GO:0016020;GO:0016021;GO:0033577;GO:0046982;GO:0047485;GO:0048306;GO:0048471;GO:0051592;GO:0097502;GO:0102704;GO:0006490
ACTL8	Q9H568	Actin-like protein 8	GO:0005515;GO:0030855;GO:0099738;GO:0030473;GO:0106006;GO:0005869;GO:0005813;GO:0000132
ZNF644	Q9H582	Zinc finger protein 644	GO:0000981;GO:0003677;GO:0006357;GO:0046872;GO:0006355;GO:0003700;GO:0005634
HEATR1	Q9H583	HEAT repeat-containing protein 1	GO:0001650;GO:0003723;GO:0005515;GO:0005654;GO:0005730;GO:0005739;GO:0006364;GO:0016020;GO:0045943;GO:2000234;GO:0032040;GO:0000462;GO:0034455;GO:0030686
DUSP21	Q9H596	Dual specificity protein phosphatase 21	GO:0000188;GO:0004725;GO:0005515;GO:0005634;GO:0005737;GO:0005759;GO:0017017;GO:0031314;GO:0035335
SLC32A1	Q9H598	Vesicular inhibitory amino acid transporter	GO:0005886;GO:0006811;GO:0007269;GO:0007568;GO:0015171;GO:0015187;GO:0015495;GO:0015812;GO:0015816;GO:0021766;GO:0030425;GO:0030672;GO:0043005;GO:0044306;GO:0044316;GO:0048786;GO:0051286;GO:0060077;GO:0061202;GO:0098982;GO:0098700;GO:0030285;GO:0003333;GO:0044292
C11orf1	Q9H5F2	UPF0686 protein C11orf1	GO:0003674;GO:0005634;GO:0005654;GO:0008150
ZNF768	Q9H5H4	Zinc finger protein 768	GO:0000981;GO:0003677;GO:0003723;GO:0005665;GO:0006357;GO:0006366;GO:0046872;GO:0005634
SUV39H2	Q9H5I1	Histone-lysine N-methyltransferase SUV39H2	GO:0000122;GO:0000775;GO:0000785;GO:0000976;GO:0005515;GO:0005654;GO:0006333;GO:0006338;GO:0007049;GO:0008270;GO:0030154;GO:0036123;GO:0036124;GO:0042754;GO:0045892;GO:0046974;GO:0048511;GO:0071456;GO:1904047;GO:0034968;GO:0005634
PIEZO2	Q9H5I5	Piezo-type mechanosensitive ion channel component 2	GO:0006812;GO:0009612;GO:0016021;GO:0050974;GO:0098655;GO:0008381;GO:0050982;GO:0005261;GO:0005886;GO:0042391;GO:0071260
ZBTB3	Q9H5J0	Zinc finger and BTB domain-containing protein 3	GO:0003677;GO:0046872;GO:0005634;GO:0006974
ELOVL6	Q9H5J4	Elongation of very long chain fatty acids protein 6	GO:0005515;GO:0005783;GO:0005789;GO:0006636;GO:0019367;GO:0035338;GO:0042759;GO:0045540;GO:0102336;GO:0102337;GO:0102338;GO:0102756;GO:0120162;GO:0042761;GO:0030148;GO:0030176;GO:0009922;GO:0034625;GO:0034626
TAF1D	Q9H5J8	TATA box-binding protein-associated factor RNA polymerase I subunit D	GO:0003677;GO:0005515;GO:0005654;GO:0005668;GO:0005815;GO:0006355;GO:0006361;GO:0006362;GO:0006363;GO:0045815
POMK	Q9H5K3	Protein O-mannose kinase	GO:0001764;GO:0004672;GO:0005524;GO:0005789;GO:0006468;GO:0006493;GO:0007420;GO:0007611;GO:0016021;GO:0016773;GO:0019200;GO:0019233;GO:0046835;GO:0050905
THAP9	Q9H5L6	DNA transposase THAP9	GO:0000981;GO:0004803;GO:0006310;GO:0006313;GO:0006357;GO:0015074;GO:0016740;GO:0043565;GO:0046872
RABEP2	Q9H5N1	Rab GTPase-binding effector protein 2	GO:0005096;GO:0005515;GO:0005769;GO:0005813;GO:0005829;GO:0006897;GO:0007165;GO:0008083;GO:0015031;GO:0030030;GO:0036064;GO:0043231;GO:0043547;GO:1902017
PDZD7	Q9H5P4	PDZ domain-containing protein 7	GO:0002141;GO:0002142;GO:0005515;GO:0005615;GO:0005634;GO:0005929;GO:0032420;GO:0042803;GO:0045184;GO:0046982;GO:0050910;GO:0060088;GO:0060117;GO:1990696;GO:0032391;GO:0007605;GO:0001917;GO:0005886;GO:0032426
TFB2M	Q9H5Q4	Dimethyladenosine transferase 2, mitochondrial	GO:0003712;GO:0003723;GO:0005739;GO:0005759;GO:0006390;GO:0006391;GO:0007005;GO:0042645;GO:0045893;GO:0000179;GO:0031167
ZCCHC4	Q9H5U6	rRNA N6-adenosine-methyltransferase ZCCHC4	GO:0003676;GO:0005730;GO:0005737;GO:0008270;GO:0008988;GO:0016746;GO:0031167;GO:0045727
IKZF5	Q9H5V7	Zinc finger protein Pegasus	GO:0000122;GO:0000977;GO:0000981;GO:0001227;GO:0008270;GO:0019904;GO:0032991;GO:0051291;GO:0044212;GO:0003700;GO:0005654;GO:0045944
CDCP1	Q9H5V8	CUB domain-containing protein 1	GO:0005515;GO:0005576;GO:0005886;GO:0016021
CXorf56	Q9H5V9	UPF0428 protein CXorf56	GO:0005634;GO:0005737;GO:0044297
CIAO2A	Q9H5X1	Cytosolic iron-sulfur assembly component 2A	GO:0005515;GO:0005634;GO:0005654;GO:0005829;GO:0007059;GO:0016226;GO:0046872;GO:0097361;GO:0097428;GO:0106035
SLITRK6	Q9H5Y7	SLIT and NTRK-like protein 6	GO:0001964;GO:0002088;GO:0002093;GO:0005886;GO:0005887;GO:0007416;GO:0007601;GO:0007605;GO:0008344;GO:0009986;GO:0021562;GO:0031223;GO:0035264;GO:0051965;GO:0060007;GO:0060384;GO:0090102;GO:0007409
DHX35	Q9H5Z1	Probable ATP-dependent RNA helicase DHX35	GO:0000398;GO:0001701;GO:0005524;GO:0071013;GO:0003723;GO:0034458
FAM124B	Q9H5Z6	Protein FAM124B	GO:0005515;GO:0005654;GO:0005739
ZNF576	Q9H609	Zinc finger protein 576	GO:0000981;GO:0003677;GO:0005515;GO:0006357;GO:0046872;GO:0005634
PIF1	Q9H611	ATP-dependent DNA helicase PIF1	GO:0000002;GO:0000287;GO:0000723;GO:0000784;GO:0005524;GO:0005739;GO:0006281;GO:0006310;GO:0010521;GO:0017116;GO:0032204;GO:0032211;GO:0033678;GO:0042162;GO:0043139;GO:0051880;GO:0051974;GO:0005657;GO:0006260;GO:0032508
RERGL	Q9H628	Ras-related and estrogen-regulated growth inhibitor-like protein	GO:0003924;GO:0005525;GO:0007165;GO:0016020
RPP21	Q9H633	Ribonuclease P protein subunit p21	GO:0001682;GO:0005654;GO:0030681;GO:0033204;GO:0042493;GO:0046872;GO:0090502;GO:0004526;GO:0008033;GO:0005655
NSUN3	Q9H649	tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial	GO:0000049;GO:0002127;GO:0005739;GO:0005759;GO:0016428;GO:0070129;GO:0031167;GO:0008168;GO:0005762
IGFLR1	Q9H665	IGF-like family receptor 1	GO:0005515;GO:0005886;GO:0016021
STN1	Q9H668	CST complex subunit STN1	GO:0000723;GO:0000784;GO:0001650;GO:0003697;GO:0005515;GO:0005634;GO:0005654;GO:0010833;GO:0016233;GO:0032211;GO:0042162;GO:0043047;GO:0043231;GO:0045111;GO:0045740;GO:1990879
ASB7	Q9H672	Ankyrin repeat and SOCS box protein 7	GO:0005515;GO:0005829;GO:0016567;GO:0035556;GO:0043687
BICC1	Q9H694	Protein bicaudal C homolog 1	GO:0003723;GO:0005737;GO:0007368;GO:0007507;GO:0090090
DENND2D	Q9H6A0	DENN domain-containing protein 2D	GO:0005515;GO:0005654;GO:0005829;GO:0017112
PCNX3	Q9H6A9	Pecanex-like protein 3	GO:0016021
ZNF385D	Q9H6B1	Zinc finger protein 385D	GO:0003676;GO:0005634;GO:0008270
CLMP	Q9H6B4	CXADR-like membrane protein	GO:0005881;GO:0005886;GO:0005923;GO:0009986;GO:0016021;GO:0048565
EPHX3	Q9H6B9	Epoxide hydrolase 3	GO:0004301;GO:0005783;GO:0006629;GO:0016020;GO:0016021;GO:0031090;GO:0043231;GO:0097176
XKR8	Q9H6D3	XK-related protein 8	GO:0005886;GO:0016021;GO:0043652;GO:0070782;GO:1902742;GO:0016020
HAUS4	Q9H6D7	HAUS augmin-like complex subunit 4	GO:0000086;GO:0003674;GO:0005515;GO:0005813;GO:0005819;GO:0005829;GO:0005874;GO:0007098;GO:0010389;GO:0051225;GO:0051301;GO:0070652;GO:0097711;GO:0051011
FNDC4	Q9H6D8	Fibronectin type III domain-containing protein 4	GO:0005615;GO:0005783;GO:0005886;GO:0016021;GO:0050728;GO:0071559;GO:0005576
CCDC134	Q9H6E4	Coiled-coil domain-containing protein 134	GO:0005515;GO:0005576;GO:0005634;GO:0005783;GO:0016020
TUT1	Q9H6E5	Speckle targeted PIP5K1A-regulated poly(A) polymerase	GO:0003723;GO:0003730;GO:0004652;GO:0005515;GO:0005524;GO:0005634;GO:0005730;GO:0005829;GO:0006378;GO:0016180;GO:0016607;GO:0019899;GO:0046872;GO:0050265;GO:0098789;GO:0071044;GO:0005847
TMEM38A	Q9H6F2	Trimeric intracellular cation channel type A	GO:0005267;GO:0007029;GO:0010881;GO:0014808;GO:0016021;GO:0031965;GO:0033017;GO:0070062;GO:0070207;GO:0071313;GO:0071805
CCDC86	Q9H6F5	Coiled-coil domain-containing protein 86	GO:0003723;GO:0005515;GO:0005634;GO:0005730;GO:0016032
REEP4	Q9H6H4	Receptor expression-enhancing protein 4	GO:0005783;GO:0005789;GO:0005874;GO:0006998;GO:0007084;GO:0008017;GO:0016021;GO:0051301
SOX17	Q9H6I2	Transcription factor SOX-17	GO:0000981;GO:0001525;GO:0001570;GO:0001706;GO:0001828;GO:0001947;GO:0003142;GO:0003143;GO:0003151;GO:0003308;GO:0003713;GO:0005515;GO:0005634;GO:0005654;GO:0005667;GO:0006355;GO:0007283;GO:0007493;GO:0008013;GO:0008134;GO:0021903;GO:0023019;GO:0030308;GO:0031648;GO:0035050;GO:0042074;GO:0042662;GO:0042789;GO:0043565;GO:0044212;GO:0045597;GO:0045732;GO:0045893;GO:0045944;GO:0045995;GO:0046982;GO:0048617;GO:0048643;GO:0048866;GO:0050821;GO:0060070;GO:0060214;GO:0060807;GO:0060913;GO:0060914;GO:0060956;GO:0061009;GO:0061010;GO:0061031;GO:0072001;GO:0072091;GO:0090090;GO:1990830;GO:2000035;GO:2000043;GO:0044798;GO:0001228;GO:0030154;GO:0000122
C11orf49	Q9H6J7	UPF0705 protein C11orf49	GO:0005515
ILRUN	Q9H6K1	Protein ILRUN	GO:0005515;GO:0005634;GO:0005737;GO:0032480;GO:0032720;GO:0043392;GO:0045087;GO:0050687;GO:1900181;GO:0000407;GO:0005776;GO:0043130;GO:0016236
OPA3	Q9H6K4	Optic atrophy 3 protein	GO:0005739;GO:0007601;GO:0040008;GO:0050896;GO:0050905;GO:0070584;GO:0019216
TMEM231	Q9H6L2	Transmembrane protein 231	GO:0001701;GO:0001944;GO:0005515;GO:0007224;GO:0016021;GO:0035869;GO:0036038;GO:0042733;GO:0043010;GO:0060170;GO:0060271;GO:0060563;GO:0032880
ARMC7	Q9H6L4	Armadillo repeat-containing protein 7	GO:0005515
RETREG1	Q9H6L5	Reticulophagy regulator 1	GO:0005515;GO:0005730;GO:0005783;GO:0005801;GO:0016604;GO:0019233;GO:0030176;GO:0043524;GO:0061709
MYH16	Q9H6N6	Putative uncharacterized protein MYH16	GO:0003774;GO:0016459
TASP1	Q9H6P5	Threonine aspartase 1	GO:0004298;GO:0006508;GO:0042802;GO:0045893;GO:0005737;GO:0051604
SLA2	Q9H6Q3	Src-like-adapter 2	GO:0000122;GO:0005070;GO:0005515;GO:0005654;GO:0005737;GO:0005770;GO:0005794;GO:0005886;GO:0009967;GO:0010008;GO:0019724;GO:0030522;GO:0042110;GO:0043231;GO:0043551;GO:0047485;GO:0050776;GO:0050849;GO:0050851;GO:0050869;GO:0046935;GO:0005942;GO:0046854;GO:0046627
CIAO3	Q9H6Q4	Cytosolic iron-sulfur assembly component 3	GO:0001666;GO:0002244;GO:0005515;GO:0010468;GO:0016226;GO:0032364;GO:0046872;GO:0097361;GO:0051539
DHX33	Q9H6R0	ATP-dependent RNA helicase DHX33	GO:0000182;GO:0003723;GO:0003725;GO:0003729;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0006413;GO:0032481;GO:0033613;GO:0043023;GO:0043410;GO:0045943;GO:0051092;GO:0072559;GO:1900227;GO:0034458
ACSS3	Q9H6R3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	GO:0003987;GO:0005524;GO:0005759;GO:0046951
NOL6	Q9H6R4	Nucleolar protein 6	GO:0000794;GO:0003723;GO:0005634;GO:0005654;GO:0005730;GO:0005739;GO:0006364;GO:0032040;GO:0032545;GO:0006409;GO:0034456
ZDHHC6	Q9H6R6	Palmitoyltransferase ZDHHC6	GO:0005515;GO:0005783;GO:0005789;GO:0016021;GO:0016409;GO:0018345;GO:0018230;GO:0006612;GO:0005794;GO:0019706
WDCP	Q9H6R7	WD repeat and coiled-coil-containing protein	GO:0019900;GO:0051259
YTHDC2	Q9H6S0	3'-5' RNA helicase YTHDC2	GO:0003723;GO:0005515;GO:0005524;GO:0005783;GO:0007286;GO:0008186;GO:0034458;GO:0034612;GO:0035770;GO:0044829;GO:0048599;GO:0051321;GO:0051729;GO:0070063;GO:0070555;GO:1990247;GO:0005634;GO:0005737
AZI2	Q9H6S1	5-azacytidine-induced protein 2	GO:0000278;GO:0005515;GO:0005737;GO:0007249;GO:0016032;GO:0032607;GO:0032609;GO:0032635;GO:0032640;GO:0042110;GO:0044565;GO:0097028
EPS8L2	Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2	GO:0003779;GO:0005515;GO:0005829;GO:0005886;GO:0007266;GO:0007605;GO:0031982;GO:0032421;GO:0032426;GO:0032587;GO:0032991;GO:0035023;GO:0045296;GO:0070062;GO:1900029;GO:0005089;GO:0030676
ESRP2	Q9H6T0	Epithelial splicing regulatory protein 2	GO:0000380;GO:0003723;GO:0003729;GO:0005634;GO:0005654;GO:0008543;GO:0043484;GO:0050679;GO:0060441;GO:0060445
RPAP3	Q9H6T3	RNA polymerase II-associated protein 3	GO:0005515;GO:0005829;GO:0097255
