	Description	UniProtID
Tmx1	thioredoxin-related transmembrane protein 1	MGI:1919986
Tmx2	thioredoxin-related transmembrane protein 2	MGI:1914208
Tmx3	thioredoxin-related transmembrane protein 3	MGI:2442418
Tmx4	thioredoxin-related transmembrane protein 4	MGI:106558
Tnc	tenascin C,Tenascin	MGI:101922
Tnf	tumor necrosis factor	MGI:104798
Tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	MGI:104961
Tnfaip2	tumor necrosis factor, alpha-induced protein 2	MGI:104960
Tnfaip3	tumor necrosis factor, alpha-induced protein 3	MGI:1196377
Tnfaip6	tumor necrosis factor alpha induced protein 6	MGI:1195266
Tnfaip8	tumor necrosis factor, alpha-induced protein 8	MGI:2147191
Tnfaip8l1	tumor necrosis factor, alpha-induced protein 8-like 1	MGI:1913693
Tnfaip8l2	tumor necrosis factor, alpha-induced protein 8-like 2	MGI:1917019
Tnfaip8l3	tumor necrosis factor, alpha-induced protein 8-like 3	MGI:2685363
Tnfrsf10b	tumor necrosis factor receptor superfamily, member 10b	MGI:1341090
Tnfrsf11a	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	MGI:1314891
Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	MGI:109587
Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a	MGI:1351484
Tnfrsf13b	tumor necrosis factor receptor superfamily, member 13b	MGI:1889411
Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	MGI:1919299
Tnfrsf14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator),Tumor necrosis factor receptor superfamily member 14	MGI:2675303
Tnfrsf17	tumor necrosis factor receptor superfamily, member 17	MGI:1343050
Tnfrsf18	tumor necrosis factor receptor superfamily, member 18	MGI:894675
Tnfrsf19	tumor necrosis factor receptor superfamily, member 19	MGI:1352474
Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	MGI:1314884
Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b	MGI:1314883
Tnfrsf21	tumor necrosis factor receptor superfamily, member 21	MGI:2151075
Tnfrsf22	tumor necrosis factor receptor superfamily, member 22	MGI:1930270
Tnfrsf23	tumor necrosis factor receptor superfamily, member 23	MGI:1930269
Tnfrsf25	tumor necrosis factor receptor superfamily, member 25	MGI:1934667
Tnfrsf26	tumor necrosis factor receptor superfamily, member 26	MGI:2651928
Tnfrsf4	tumor necrosis factor receptor superfamily, member 4	MGI:104512
Tnfrsf8	tumor necrosis factor receptor superfamily, member 8	MGI:99908
Tnfrsf9	tumor necrosis factor receptor superfamily, member 9	MGI:1101059
Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10	MGI:107414
Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11	MGI:1100089
Tnfsf12	tumor necrosis factor (ligand) superfamily, member 12	MGI:1196259
Tnfsf13	tumor necrosis factor (ligand) superfamily, member 13	MGI:1916833
Tnfsf13b	tumor necrosis factor (ligand) superfamily, member 13b	MGI:1344376
Tnfsf13os	tumor necrosis factor (ligand) superfamily, member 13, opposite strand	MGI:1919587
Tnfsf14	tumor necrosis factor (ligand) superfamily, member 14,Tumor necrosis factor ligand superfamily member 14	MGI:1355317
Tnfsf15	tumor necrosis factor (ligand) superfamily, member 15	MGI:2180140
Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	MGI:2673064
Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	MGI:104511
Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8	MGI:88328
Tnfsf9	tumor necrosis factor (ligand) superfamily, member 9	MGI:1101058
Tnfsfm13	tumor necrosis factor (ligand) superfamily, membrane-bound member 13	MGI:3845075
Tnfsg5	TNF-stimulated gene 5	MGI:3608660
Tnik	TRAF2 and NCK interacting kinase	MGI:1916264
Tnip1	TNFAIP3 interacting protein 1	MGI:1926194
Tnip2	TNFAIP3 interacting protein 2	MGI:2386643
Tnip3	TNFAIP3 interacting protein 3	MGI:3041165
Tnk1	tyrosine kinase, non-receptor, 1	MGI:1930958
Tnk2	tyrosine kinase, non-receptor, 2	MGI:1858308
Tnk2os	tyrosine kinase, non-receptor 2, opposite strand	MGI:3642140
Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	MGI:1341087
Tnks1bp1	tankyrase 1 binding protein 1	MGI:2446193
Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	MGI:1921743
Tnmd	tenomodulin	MGI:1929885
Tnn	tenascin N	MGI:2665790
Tnnc1	troponin C, cardiac/slow skeletal	MGI:98779
Tnnc2	troponin C2, fast	MGI:98780
Tnni1	troponin I, skeletal, slow 1	MGI:105073
Tnni2	troponin I, skeletal, fast 2	MGI:105070
Tnni3	troponin I, cardiac 3	MGI:98783
Tnni3k	TNNI3 interacting kinase	MGI:2443276
Tnnt1	troponin T1, skeletal, slow	MGI:1333868
Tnnt2	troponin T2, cardiac	MGI:104597
Tnnt3	troponin T3, skeletal, fast	MGI:109550
Tnp1	transition protein 1	MGI:98784
Tnp2	transition protein 2	MGI:98785
Tnpo1	transportin 1	MGI:2681523
Tnpo2	transportin 2 (importin 3, karyopherin beta 2b)	MGI:2384849
Tnpo3	transportin 3	MGI:1196412
Tnr	tenascin R	MGI:99516
Tnrc18	trinucleotide repeat containing 18	MGI:3648294
Tnrc6a	trinucleotide repeat containing 6a	MGI:2385292
Tnrc6b	trinucleotide repeat containing 6b	MGI:2443730
Tnrc6c	trinucleotide repeat containing 6C	MGI:2443265
Tns1	tensin 1	MGI:104552
Tns2	tensin 2	MGI:2387586
Tns3	tensin 3	MGI:2443012
Tns4	tensin 4	MGI:2144377
Tnxb	tenascin XB	MGI:1932137
tnyw	tiny wasting	MGI:3717081
Tob1	transducer of ErbB-2.1	MGI:1349721
Tob2	transducer of ERBB2, 2	MGI:1888525
Toe1	target of EGR1, member 1 (nuclear)	MGI:1915526
Togaram1	TOG array regulator of axonemal microtubules 1	MGI:2684313
Togaram2	TOG array regulator of axonemal microtubules 2	MGI:2443498
Tollip	toll interacting protein	MGI:1891808
Tom1	target of myb1 trafficking protein	MGI:1338026
Tom1l1	target of myb1-like 1 (chicken)	MGI:1919193
Tom1l2	target of myb1-like 2 (chicken)	MGI:2443306
Tomm20	translocase of outer mitochondrial membrane 20	MGI:1915202
Tomm20l	translocase of outer mitochondrial membrane 20-like	MGI:1922516
Tomm22	translocase of outer mitochondrial membrane 22	MGI:2450248
Tomm34	translocase of outer mitochondrial membrane 34	MGI:1914395
Tomm40	translocase of outer mitochondrial membrane 40	MGI:1858259
Tomm40l	translocase of outer mitochondrial membrane 40-like	MGI:3589112
Tomm5	translocase of outer mitochondrial membrane 5	MGI:1915762
Tomm6	translocase of outer mitochondrial membrane 6	MGI:1913369
Tomm6os	translocase of outer mitochondrial membrane 6, opposite strand	MGI:3705171
Tomm7	translocase of outer mitochondrial membrane 7	MGI:1913419
Tomm70a	translocase of outer mitochondrial membrane 70A	MGI:106295
Tomt	transmembrane O-methyltransferase	MGI:3769724
Tonsl	tonsoku-like, DNA repair protein	MGI:1919999
Top1	topoisomerase (DNA) I	MGI:98788
Top1mt	DNA topoisomerase 1, mitochondrial	MGI:1920210
Top2a	topoisomerase (DNA) II alpha,DNA topoisomerase 2-alpha	MGI:98790
Top2b	topoisomerase (DNA) II beta	MGI:98791
Top3a	topoisomerase (DNA) III alpha,DNA topoisomerase 3-alpha	MGI:1197527
Top3b	topoisomerase (DNA) III beta	MGI:1333803
Topaz1	testis and ovary specific PAZ domain containing 1	MGI:3779933
Topbp1	topoisomerase (DNA) II binding protein 1	MGI:1920018
Topors	topoisomerase I binding, arginine/serine-rich	MGI:2146189
Toporsl	topoisomerase I binding, arginine/serine-rich like	MGI:1915524
tor	tortured	MGI:98792
Tor1a	torsin family 1, member A (torsin A)	MGI:1353568
Tor1aip1	torsin A interacting protein 1	MGI:3582693
Tor1aip2	torsin A interacting protein 2	MGI:3582695
Tor1b	torsin family 1, member B	MGI:1353605
Tor2a	torsin family 2, member A	MGI:1353596
Tor3a	torsin family 3, member A	MGI:1353652
Tor4a	torsin family 4, member A	MGI:2442720
Tox	thymocyte selection-associated high mobility group box	MGI:2181659
Tox2	TOX high mobility group box family member 2	MGI:3611233
Tox3	TOX high mobility group box family member 3	MGI:3039593
Tox4	TOX high mobility group box family member 4	MGI:1915389
tp	taupe	MGI:98793
Tpbg	trophoblast glycoprotein	MGI:1341264
Tpbgl	trophoblast glycoprotein-like	MGI:3646425
Tpbpa	trophoblast specific protein alpha	MGI:98795
Tpbpb	trophoblast specific protein beta	MGI:2151721
Tpcn1	two pore channel 1	MGI:2182472
Tpcn2	two pore segment channel 2	MGI:2385297
Tpd52	tumor protein D52	MGI:107749
Tpd52l1	tumor protein D52-like 1	MGI:1298386
Tpd52l2	tumor protein D52-like 2	MGI:1913564
Tpe1	tear protein electrophoretic 1	MGI:103146
Tpe2	tear protein electrophoretic 2	MGI:103145
Tpgs1	tubulin polyglutamylase complex subunit 1,Tubulin polyglutamylase complex subunit 1	MGI:106618
Tpgs2	tubulin polyglutamylase complex subunit 2,Tubulin polyglutamylase complex subunit 2	MGI:1913898
Tph1	tryptophan hydroxylase 1	MGI:98796
Tph2	tryptophan hydroxylase 2	MGI:2651811
Tpi1	triosephosphate isomerase 1	MGI:98797
Tpk1	thiamine pyrophosphokinase	MGI:1352500
Tpm1	tropomyosin 1, alpha	MGI:98809
Tpm2	tropomyosin 2, beta	MGI:98810
Tpm3	tropomyosin 3, gamma	MGI:1890149
Tpm3-rs7	tropomyosin 3, related sequence 7	MGI:99705
Tpm4	tropomyosin 4	MGI:2449202
Tpmt	thiopurine methyltransferase	MGI:98812
Tpo	thyroid peroxidase	MGI:98813
Tpp1	tripeptidyl peptidase I	MGI:1336194
Tpp2	tripeptidyl peptidase II	MGI:102724
Tppp	tubulin polymerization promoting protein	MGI:1920198
Tppp2	tubulin polymerization-promoting protein family member 2	MGI:2684923
Tppp3	tubulin polymerization-promoting protein family member 3	MGI:1915221
Tpr	translocated promoter region, nuclear basket protein	MGI:1922066
Tpra1	transmembrane protein, adipocyte asscociated 1	MGI:1345190
Tprg	transformation related protein 63 regulated	MGI:1918588
Tprgl	transformation related protein 63 regulated like	MGI:1915058
Tprkb	Tp53rk binding protein	MGI:1917036
Tprn	taperin,Taperin	MGI:2139535
Tpsab1	tryptase alpha/beta 1	MGI:96943
Tpsb2	tryptase beta 2	MGI:96942
Tpsg1	tryptase gamma 1	MGI:1349391
Tpst1	protein-tyrosine sulfotransferase 1	MGI:1298231
Tpst2	protein-tyrosine sulfotransferase 2	MGI:1309516
Tpt1	tumor protein, translationally-controlled 1	MGI:104890
Tpte	transmembrane phosphatase with tensin homology	MGI:2446460
Tpx2	TPX2, microtubule-associated	MGI:1919369
Tra2a	transformer 2 alpha	MGI:1933972
Tra2b	transformer 2 beta	MGI:106016
Trabd	TraB domain containing	MGI:1915226
Trabd2b	TraB domain containing 2B	MGI:3650152
Trac	T cell receptor alpha constant	MGI:4439838
Tradd	TNFRSF1A-associated via death domain	MGI:109200
Traf1	TNF receptor-associated factor 1	MGI:101836
Traf2	TNF receptor-associated factor 2	MGI:101835
Traf3	TNF receptor-associated factor 3	MGI:108041
Traf3ip1	TRAF3 interacting protein 1,TRAF3-interacting protein 1	MGI:1921269
Traf3ip2	TRAF3 interacting protein 2	MGI:2143599
Traf3ip3	TRAF3 interacting protein 3	MGI:2441706
Traf4	TNF receptor associated factor 4	MGI:1202880
Traf5	TNF receptor-associated factor 5	MGI:107548
Traf6	TNF receptor-associated factor 6	MGI:108072
Traf7	TNF receptor-associated factor 7	MGI:3042141
Trafd1	TRAF type zinc finger domain containing 1	MGI:1923551
Traip	TRAF-interacting protein	MGI:1096377
Traj18	T cell receptor alpha joining 18	MGI:4440521
Traj52	T cell receptor alpha joining 52	MGI:4439697
Trak1	trafficking protein, kinesin binding 1	MGI:1914345
Trak2	trafficking protein, kinesin binding 2	MGI:1918077
Tram1	translocating chain-associating membrane protein 1	MGI:1919515
Tram1l1	translocation associated membrane protein 1-like 1	MGI:2443503
Tram2	translocating chain-associating membrane protein 2	MGI:1924817
Trank1	tetratricopeptide repeat and ankyrin repeat containing 1	MGI:1341834
Trap1	TNF receptor-associated protein 1	MGI:1915265
Trap1a	tumor rejection antigen P1A	MGI:98818
Trappc1	trafficking protein particle complex 1	MGI:1098727
Trappc10	trafficking protein particle complex 10	MGI:1336209
Trappc11	trafficking protein particle complex 11	MGI:2444585
Trappc12	trafficking protein particle complex 12	MGI:2445089
Trappc13	trafficking protein particle complex 13	MGI:1914225
Trappc14	trafficking protein particle complex 14	MGI:2385896
Trappc2	trafficking protein particle complex 2	MGI:1913476
Trappc2l	trafficking protein particle complex 2-like	MGI:1916295
Trappc3	trafficking protein particle complex 3	MGI:1351486
Trappc3l	trafficking protein particle complex 3 like	MGI:3642034
Trappc4	trafficking protein particle complex 4,Trafficking protein particle complex subunit 4	MGI:1926211
Trappc5	trafficking protein particle complex 5	MGI:1913932
Trappc6a	trafficking protein particle complex 6A	MGI:1914341
Trappc6b	trafficking protein particle complex 6B	MGI:1925482
Trappc8	trafficking protein particle complex 8	MGI:2443008
Trappc9	trafficking protein particle complex 9	MGI:1923760
Trarg1	trafficking regulator of GLUT4 (SLC2A4) 1	MGI:3029307
Trat1	T cell receptor associated transmembrane adaptor 1	MGI:1924897
Trav1	T cell receptor alpha variable 1	MGI:3651476
Trav10	T cell receptor alpha variable 10	MGI:3704132
Trav10n	T cell receptor alpha variable 10N	MGI:3647936
Trav11	T cell receptor alpha variable 11	MGI:3642163
Trav11d	T cell receptor alpha variable 11D	MGI:3649423
Trav12-1	T cell receptor alpha variable 12-1	MGI:4440525
Trav12-2	T cell receptor alpha variable 12-2	MGI:5293447
Trav12-3	T cell receptor alpha variable 12-3	MGI:3648633
Trav12d-1	T cell receptor alpha variable 12D-1	MGI:3649417
Trav12d-2	T cell receptor alpha variable 12D-2	MGI:3642520
Trav12d-3	T cell receptor alpha variable 12D-3	MGI:3704434
Trav12n-1	T cell receptor alpha variable 12N-1	MGI:3782477
Trav12n-2	T cell receptor alpha variable 12N-2	MGI:3644334
Trav12n-3	T cell receptor alpha variable 12N-3	MGI:3704131
Trav13-2	T cell receptor alpha variable 13-2	MGI:3651611
Trav13-4-dv7	T cell receptor alpha variable 13-4-DV7	MGI:3702151
Trav13-5	T cell receptor alpha variable 13-5	MGI:3026946
Trav13d-1	T cell receptor alpha variable 13D-1	MGI:3652171
Trav13d-2	T cell receptor alpha variable 13D-2	MGI:3643151
Trav13n-2	T cell receptor alpha variable 13N-2	MGI:3642345
Trav13n-3	T cell receptor alpha variable 13N-3	MGI:3645598
Trav13n-4	T cell receptor alpha variable 13N-4	MGI:3642678
Trav14-1	T cell receptor alpha variable 14-1	MGI:3646773
Trav14-2	T cell receptor alpha variable 14-2	MGI:3649206
Trav14-3	T cell receptor alpha variable 14-3	MGI:3702149
Trav14d-1	T cell receptor alpha variable 14D-1	MGI:3651279
Trav14d-2	T cell receptor alpha variable 14D-2	MGI:3646138
Trav14d-3-dv8	T cell receptor alpha variable 14D-3-DV8	MGI:3822547
Trav14n-1	T cell receptor alpha variable 14N-1	MGI:3642439
Trav14n-2	T cell receptor alpha variable 14N-2	MGI:3645258
Trav14n-3	T cell receptor alpha variable 14N-3	MGI:3584039
Trav15-1-dv6-1	T cell receptor alpha variable 15-1-DV6-1	MGI:4439369
Trav15-2-dv6-2	T cell receptor alpha variable 15-2-DV6-2	MGI:3702147
Trav15d-1-dv6d-1	T cell receptor alpha variable 15D-1-DV6D-1	MGI:3651288
Trav15d-2-dv6d-2	T cell receptor alpha variable 15D-2-DV6D-2	MGI:3800299
Trav15n-2	T cell receptor alpha variable 15N-2	MGI:3649172
Trav16	T cell receptor alpha variable 16	MGI:3702130
Trav16d-dv11	T cell receptor alpha variable 16D-DV11	MGI:3704436
Trav16n	T cell receptor alpha variable 16n	MGI:4439761
Trav18	T cell receptor alpha variable 18	MGI:3649382
Trav19	T cell receptor alpha variable 19	MGI:3649383
Trav2	T cell receptor alpha variable 2	MGI:3642679
Trav21-dv12	T cell receptor alpha variable 21-DV12	MGI:3652097
Trav23	T cell receptor alpha variable 23	MGI:5009959
Trav3-1	T cell receptor alpha variable 3-1	MGI:3644489
Trav3-3	T cell receptor alpha variable 3-3	MGI:3702145
Trav3-4	T cell receptor alpha variable 3-4	MGI:2684925
Trav3d-2	T cell receptor alpha variable 3D-2	MGI:3782032
Trav3d-3	T cell receptor alpha variable 3D-3	MGI:3782469
Trav3n-2	T cell receptor alpha variable 3N-2	MGI:3782082
Trav3n-3	T cell receptor alpha variable 3N-3	MGI:3782518
Trav4-2	T cell receptor alpha variable 4-2	MGI:3649605
Trav4-4-dv10	T cell receptor alpha variable 4-4-DV10	MGI:3702138
Trav4d-3	T cell receptor alpha variable 4D-3	MGI:3782037
Trav4d-4	T cell receptor alpha variable 4D-4	MGI:2684872
Trav4n-3	T cell receptor alpha variable 4N-3	MGI:3782086
Trav4n-4	T cell receptor alpha variable 4N-4	MGI:3704439
Trav5-1	T cell receptor alpha variable 5-1	MGI:3815062
Trav5-4	T cell receptor alpha variable 5-4	MGI:1196221
Trav5d-4	T cell receptor alpha variable 5D-4	MGI:3704130
Trav5n-4	T cell receptor alpha variable 5N-4	MGI:3704440
Trav6-1	T cell receptor alpha variable 6-1	MGI:3644497
Trav6-2	T cell receptor alpha variable 6-2	MGI:3642602
Trav6-3	T cell receptor alpha variable 6-3	MGI:3649610
Trav6-4	T cell receptor alpha variable 6-4	MGI:3702153
Trav6-5	T cell receptor alpha variable 6-5	MGI:3649609
Trav6-7-dv9	T cell receptor alpha variable 6-7-DV9	MGI:3702143
Trav6d-3	T cell receptor alpha variable 6D-3	MGI:3650097
Trav6d-4	T cell receptor alpha variable 6D-4	MGI:2685547
Trav6d-5	T cell receptor alpha variable 6D-5	MGI:3649416
Trav6d-6	T cell receptor alpha variable 6D-6	MGI:2686066
Trav6d-7	T cell receptor alpha variable 6D-7	MGI:2686335
Trav6n-5	T cell receptor alpha variable 6N-5	MGI:3704437
Trav6n-6	T cell receptor alpha variable 6N-6	MGI:3642618
Trav6n-7	T cell receptor alpha variable 6N-7	MGI:3704441
Trav7-1	T cell receptor alpha variable 7-1	MGI:3647460
Trav7-2	T cell receptor alpha variable 7-2	MGI:3649607
Trav7-3	T cell receptor alpha variable 7-3	MGI:3649556
Trav7-4	T cell receptor alpha variable 7-4	MGI:3649611
Trav7-5	T cell receptor alpha variable 7-5	MGI:3648929
Trav7-6	T cell receptor alpha variable 7-6	MGI:3702133
Trav7d-2	T cell receptor alpha variable 7D-2	MGI:3711992
Trav7d-3	T cell receptor alpha variable 7D-3	MGI:3649861
Trav7d-4	T cell receptor alpha variable 7D-4	MGI:3651273
Trav7d-5	T cell receptor alpha variable 7D-5	MGI:3649422
Trav7d-6	T cell receptor alpha variable 7D-6	MGI:2444626
Trav7n-4	T cell receptor alpha variable 7N-4	MGI:3644878
Trav7n-5	T cell receptor alpha variable 7N-5	MGI:3644782
Trav7n-6	T cell receptor alpha variable 7N-6	MGI:3704442
Trav8-1	T cell receptor alpha variable 8-1	MGI:3649608
Trav8d-1	T cell receptor alpha variable 8D-1	MGI:3650121
Trav8d-2	T cell receptor alpha  variable 8D-2	MGI:3647760
Trav8n-2	T cell receptor alpha  variable 8n-2	MGI:3641705
Trav9-1	T cell receptor alpha  variable 9-1	MGI:3650356
Trav9-4	T cell receptor alpha variable 9-4	MGI:3702135
Trav9d-1	T cell receptor alpha variable 9D-1	MGI:3650631
Trav9d-2	T cell receptor alpha  variable 9D-2	MGI:3704129
Trav9d-3	T cell receptor alpha  variable 9D-3	MGI:3780142
Trav9n-1	T cell receptor alpha  variable 9N-1	MGI:3809200
Trav9n-2	T cell receptor alpha  variable 9N-2	MGI:3704438
Trav9n-3	T cell receptor alpha  variable 9N-3	MGI:3782511
Trav9n-4	T cell receptor alpha variable 9N-4	MGI:3583949
Trbc1	T cell receptor beta, constant region 1	MGI:4439726
Trbc2	T cell receptor beta, constant 2	MGI:4835227
Trbv1	T cell receptor beta, variable 1	MGI:98594
Trbv12-1	T cell receptor beta, variable 12-1	MGI:98602
Trbv12-2	T cell receptor beta, variable 12-2	MGI:98601
Trbv13-1	T cell receptor beta, variable 13-1	MGI:98609
Trbv13-2	T cell receptor beta, variable 13-2	MGI:98608
Trbv13-3	T cell receptor beta, variable 13-3	MGI:98607
Trbv14	T cell receptor beta, variable 14	MGI:98587
Trbv15	T cell receptor beta, variable 15	MGI:98586
Trbv16	T cell receptor beta, variable 16	MGI:98585
Trbv17	T cell receptor beta, variable 17	MGI:98610
Trbv19	T cell receptor beta, variable 19	MGI:98604
Trbv2	T cell receptor beta, variable 2	MGI:98599
Trbv20	T cell receptor beta, variable 20	MGI:98589
Trbv21	T cell receptor beta, variable 21	MGI:98593
Trbv23	T cell receptor beta, variable V23	MGI:98595
Trbv24	T cell receptor beta, variable 24	MGI:98591
Trbv26	T cell receptor beta, variable 26	MGI:98596
Trbv29	T cell receptor beta, variable 29	MGI:98605
Trbv3	T cell receptor beta, variable 3	MGI:98590
Trbv30	T cell receptor beta, variable 30	MGI:98592
Trbv31	T cell receptor beta, variable 31	MGI:98588
Trbv4	T cell receptor beta, variable 10	MGI:98584
Trbv5	T cell receptor beta, variable 5	MGI:98583
Trcg1	taste receptor cell gene 1	MGI:3576664
Trdc	T cell receptor delta, constant region	MGI:98612
Trdmt1	tRNA aspartic acid methyltransferase 1	MGI:1274787
Trdn	triadin	MGI:1924007
Trdv1	T cell receptor delta variable 1	MGI:3649381
Trdv2-1	T cell receptor delta variable 2-1	MGI:3642826
Trdv2-2	T cell receptor delta variable 2-2	MGI:4819748
Trdv4	T cell receptor delta variable 4	MGI:4887419
Trdv5	T cell receptor delta variable 5	MGI:3704133
Treh	trehalase (brush-border membrane glycoprotein)	MGI:1926230
Trem1	triggering receptor expressed on myeloid cells 1	MGI:1930005
Trem2	triggering receptor expressed on myeloid cells 2	MGI:1913150
Trem3	triggering receptor expressed on myeloid cells 3	MGI:1930003
Treml1	triggering receptor expressed on myeloid cells-like 1	MGI:1918576
Treml2	triggering receptor expressed on myeloid cells-like 2	MGI:2147038
Treml4	triggering receptor expressed on myeloid cells-like 4	MGI:1923239
Trerf1	transcriptional regulating factor 1	MGI:2442086
Trex1	three prime repair exonuclease 1	MGI:1328317
Trex2	three prime repair exonuclease 2	MGI:1346343
Trf	transferrin	MGI:98821
Trgc1	T cell receptor gamma, constant 1	MGI:98625
Trgc2	T cell receptor gamma, constant 2	MGI:98626
Trgc3	T cell receptor gamma, constant 3	MGI:98627
Trgc4	T cell receptor gamma, constant 4	MGI:98628
Trgv1	T cell receptor gamma, variable 1	MGI:98631
Trgv2	T cell receptor gamma variable 2	MGI:98632
Trgv3	T cell receptor gamma, variable 3	MGI:98633
Trgv4	T cell receptor gamma, variable 4	MGI:98634
Trgv5	T cell receptor gamma, variable 5	MGI:98635
Trgv6	T cell receptor gamma, variable 6	MGI:98636
Trgv7	T cell receptor gamma, variable 7	MGI:98637
Trh	thyrotropin releasing hormone	MGI:98823
Trhde	TRH-degrading enzyme	MGI:2384311
Trhr	thyrotropin releasing hormone receptor	MGI:98824
Trhr2	thyrotropin releasing hormone receptor 2	MGI:2177284
Triap1	TP53 regulated inhibitor of apoptosis 1	MGI:1916326
Trib1	tribbles pseudokinase 1	MGI:2443397
Trib2	tribbles pseudokinase 2	MGI:2145021
Trib3	tribbles pseudokinase 3,Tribbles homolog 3	MGI:1345675
Tril	TLR4 interactor with leucine-rich repeats	MGI:1914123
Trim10	tripartite motif-containing 10	MGI:1338757
Trim11	tripartite motif-containing 11	MGI:2137355
Trim12a	tripartite motif-containing 12A	MGI:1923931
Trim12c	tripartite motif-containing 12C	MGI:4821183
Trim13	tripartite motif-containing 13	MGI:1913847
Trim14	tripartite motif-containing 14	MGI:1921985
Trim15	tripartite motif-containing 15	MGI:1916347
Trim16	tripartite motif-containing 16	MGI:2137356
Trim17	tripartite motif-containing 17	MGI:1861440
Trim2	tripartite motif-containing 2	MGI:1933163
Trim21	tripartite motif-containing 21	MGI:106657
Trim23	tripartite motif-containing 23	MGI:1933161
Trim24	tripartite motif-containing 24	MGI:109275
Trim25	tripartite motif-containing 25	MGI:102749
Trim26	tripartite motif-containing 26	MGI:1337056
Trim27	tripartite motif-containing 27	MGI:97904
Trim28	tripartite motif-containing 28	MGI:109274
Trim29	tripartite motif-containing 29	MGI:1919419
Trim3	tripartite motif-containing 3	MGI:1860040
Trim30a	tripartite motif-containing 30A	MGI:98178
Trim30b	tripartite motif-containing 30B	MGI:4821256
Trim30c	tripartite motif-containing 30C	MGI:4821257
Trim30d	tripartite motif-containing 30D	MGI:3035181
Trim31	tripartite motif-containing 31	MGI:2385051
Trim32	tripartite motif-containing 32	MGI:1917057
Trim33	tripartite motif-containing 33	MGI:2137357
Trim34a	tripartite motif-containing 34A	MGI:2137359
Trim34b	tripartite motif-containing 34B	MGI:4821264
Trim35	tripartite motif-containing 35	MGI:1914104
Trim36	tripartite motif-containing 36	MGI:106264
Trim37	tripartite motif-containing 37	MGI:2153072
Trim38	tripartite motif-containing 38	MGI:2684869
Trim39	tripartite motif-containing 39	MGI:1890659
Trim40	tripartite motif-containing 40	MGI:2684881
Trim41	tripartite motif-containing 41	MGI:2384814
Trim42	tripartite motif-containing 42	MGI:1926161
Trim43a	tripartite motif-containing 43A	MGI:3645218
Trim43b	tripartite motif-containing 43B	MGI:3648996
Trim43c	tripartite motif-containing 43C	MGI:3647365
Trim44	tripartite motif-containing 44	MGI:1931835
Trim45	tripartite motif-containing 45	MGI:1918187
Trim46	tripartite motif-containing 46	MGI:2673000
Trim47	tripartite motif-containing 47	MGI:1917374
Trim5	tripartite motif-containing 5	MGI:3646853
Trim50	tripartite motif-containing 50	MGI:2664992
Trim52	tripartite motif-containing 52	MGI:3045276
Trim54	tripartite motif-containing 54	MGI:1889623
Trim55	tripartite motif-containing 55	MGI:3036269
Trim56	tripartite motif-containing 56	MGI:2685298
Trim58	tripartite motif-containing 58	MGI:2684862
Trim59	tripartite motif-containing 59	MGI:1914199
Trim6	tripartite motif-containing 6	MGI:2137352
Trim60	tripartite motif-containing 60	MGI:2387430
Trim61	tripartite motif-containing 61	MGI:2387432
Trim62	tripartite motif-containing 62	MGI:1914775
Trim63	tripartite motif-containing 63,E3 ubiquitin-protein ligase TRIM63	MGI:2447992
Trim65	tripartite motif-containing 65	MGI:2442815
Trim66	tripartite motif-containing 66	MGI:2152406
Trim67	tripartite motif-containing 67	MGI:3045323
Trim68	tripartite motif-containing 68	MGI:2142077
Trim69	tripartite motif-containing 69	MGI:1918178
Trim7	tripartite motif-containing 7	MGI:2137353
Trim71	tripartite motif-containing 71	MGI:2685973
Trim72	tripartite motif-containing 72,Tripartite motif-containing protein 72	MGI:3612190
Trim75	tripartite motif-containing 75	MGI:2685640
Trim8	tripartite motif-containing 8	MGI:1933302
Trim80	tripartite motif-containing 80	MGI:3588186
Trim9	tripartite motif-containing 9	MGI:2137354
Triml1	tripartite motif family-like 1	MGI:2687279
Triml2	tripartite motif family-like 2	MGI:3642989
Trio	triple functional domain (PTPRF interacting)	MGI:1927230
Triobp	TRIO and F-actin binding protein,TRIO and F-actin-binding protein	MGI:1349410
Trip10	thyroid hormone receptor interactor 10	MGI:2146901
Trip11	thyroid hormone receptor interactor 11	MGI:1924393
Trip12	thyroid hormone receptor interactor 12	MGI:1309481
Trip13	thyroid hormone receptor interactor 13	MGI:1916966
Trip4	thyroid hormone receptor interactor 4	MGI:1928469
Trip6	thyroid hormone receptor interactor 6	MGI:1343458
